x,y,threat
-2.7,-4.2,1.00002
-2.6,-4.2,1.00003
-2.5,-4.2,1.00004
-2.4,-4.2,1.00005
-2.3,-4.2,1.00007
-2.2,-4.2,1.00009
-2.1,-4.2,1.00011
-2,-4.2,1.00014
-1.9,-4.2,1.00017
-1.8,-4.2,1.00022
-1.7,-4.2,1.00028
-1.6,-4.2,1.00036
-1.5,-4.2,1.00048
-1.4,-4.2,1.00065
-1.3,-4.2,1.00093
-1.2,-4.2,1.00138
-1.1,-4.2,1.00211
-1,-4.2,1.0033
-0.9,-4.2,1.00522
-0.8,-4.2,1.00828
-0.7,-4.2,1.01309
-0.6,-4.2,1.02045
-0.5,-4.2,1.03151
-0.4,-4.2,1.04772
-0.3,-4.2,1.07094
-0.2,-4.2,1.10337
-0.1,-4.2,1.14754
0,-4.2,1.20617
0.1,-4.2,1.28195
0.2,-4.2,1.37727
0.3,-4.2,1.49387
0.4,-4.2,1.63242
0.5,-4.2,1.79214
0.6,-4.2,1.97044
0.7,-4.2,2.1628
0.8,-4.2,2.36268
0.9,-4.2,2.56181
1,-4.2,2.75068
1.1,-4.2,2.91921
1.2,-4.2,3.05767
1.3,-4.2,3.15758
1.4,-4.2,3.21256
1.5,-4.2,3.21903
1.6,-4.2,3.17655
1.7,-4.2,3.08795
1.8,-4.2,2.95894
1.9,-4.2,2.79754
2,-4.2,2.61326
2.1,-4.2,2.41615
2.2,-4.2,2.21595
2.3,-4.2,2.02131
2.4,-4.2,1.83921
2.5,-4.2,1.67471
2.6,-4.2,1.53086
2.7,-4.2,1.40888
2.8,-4.2,1.30842
2.9,-4.2,1.22798
3,-4.2,1.1653
3.1,-4.2,1.11772
3.2,-4.2,1.08252
3.3,-4.2,1.0571
3.4,-4.2,1.03917
3.5,-4.2,1.0268
3.6,-4.2,1.01843
3.7,-4.2,1.01285
3.8,-4.2,1.00917
3.9,-4.2,1.00675
4,-4.2,1.00514
4.1,-4.2,1.00405
4.2,-4.2,1.00329
4.3,-4.2,1.00272
